學年度,上學期課表,下學期課表
106學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_106a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>",None
105學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_105a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_105b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
104學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_104a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_104b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
103學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_103a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_103b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
102學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_102a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_102b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
101學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_101a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_101b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
100學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_100a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_100b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
99學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_99a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_99b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
98學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_98a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_98b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
97學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_97a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_97b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
96學年度,"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_96a.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>","<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_96b.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>"
95學年度(上下學期課表於同一份檔案內),"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_95.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>",#colspan#
94學年度(上下學期課表於同一份檔案內),"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_94.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>",#colspan#
93學年度(上下學期課表於同一份檔案內),"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_93.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>",#colspan#
92學年度(上下學期課表於同一份檔案內),"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_92.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>",#colspan#
91學年度(上下學期課表於同一份檔案內),"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_91.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>",#colspan#
90學年度(上下學期課表於同一份檔案內),"<a href=""http://coedev.nctu.edu.tw/wp-content/uploads/c3_3_90.pdf""><i class=""fa fa-file-pdf-o fa-2x"" aria-hidden=""true""></i></a>",#colspan#
